Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeScreenshot(),,,,2024-03-06 09:41:35,2024-03-06 09:41:36,0.445s,PASSED
"comment(""TC054,TC055 and TC058"")",,Validate Currency Dropdown CCY2,,2024-03-06 09:41:36,2024-03-06 09:41:36,0.002s,PASSED
"tap(findTestObject(""SOW2-Market Order/Select_Currency Dropdown""), 0, CONTINUE_ON_FAILURE)",,Verify Select Currency Page,,2024-03-06 09:41:36,2024-03-06 09:41:36,0.152s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD - US Dollar""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:36,2024-03-06 09:41:37,0.854s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""GBP - British Pound Sterling""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:37,2024-03-06 09:41:37,0.105s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""EUR - Euro""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:37,2024-03-06 09:41:37,0.084s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""AUD - Australian Dollar""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:37,2024-03-06 09:41:37,0.087s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-06 09:41:37,2024-03-06 09:41:44,6.696s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""JPY - Japanese Yen""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:44,2024-03-06 09:41:44,0.120s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""SGD - Singapore Dollar""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:44,2024-03-06 09:41:44,0.123s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""CAD - Canadian Dollar""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:44,2024-03-06 09:41:44,0.142s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD - US Dollar""]), 0, CONTINUE_ON_FAILURE)",,Verify Select Currency Page,,2024-03-06 09:41:44,2024-03-06 09:41:44,0.189s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,,,2024-03-06 09:41:44,2024-03-06 09:41:49,4.881s,PASSED
"get_amount = getText(findTestObject(""SOW2-Market Order/Amount_To_Received""), 0, CONTINUE_ON_FAILURE)",,Validate CCY1 = 0.00 if CCY2 = 0.00,,2024-03-06 09:41:49,2024-03-06 09:41:50,0.948s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.EditText _Amount to Received""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:41:50,2024-03-06 09:41:52,1.368s,PASSED
delay(10),,,,2024-03-06 09:41:52,2024-03-06 09:42:02,10.023s,PASSED
