Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Push_Notification,,,,2024-03-07 14:10:45,2024-03-07 14:15:27,4m - 41.916s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/Push Notification,,,,2024-03-07 14:10:45,2024-03-07 14:15:27,4m - 41.457s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-07 14:10:46,2024-03-07 14:11:04,17.359s,PASSED
a = 8,,,,2024-03-07 14:11:04,2024-03-07 14:11:04,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-07 14:11:04,2024-03-07 14:12:31,1m - 27.005s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-07 14:12:31,2024-03-07 14:12:34,2.965s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-07 14:12:34,2024-03-07 14:12:39,4.936s,PASSED
delay(10),,,,2024-03-07 14:12:39,2024-03-07 14:12:49,10.018s,PASSED
Validation.Terms_Condition(),,,,2024-03-07 14:12:49,2024-03-07 14:12:59,10.188s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-07 14:12:59,2024-03-07 14:13:00,0.789s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-07 14:13:00,2024-03-07 14:13:20,20.104s,PASSED
"digits = ""5000""",,,,2024-03-07 14:13:20,2024-03-07 14:13:20,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-07 14:13:20,2024-03-07 14:13:20,0.015s,PASSED
digit_length = digits.length(),,,,2024-03-07 14:13:20,2024-03-07 14:13:20,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-07 14:13:20,2024-03-07 14:13:41,20.929s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-07 14:13:41,2024-03-07 14:13:46,5.162s,PASSED
delay(5),,,,2024-03-07 14:13:46,2024-03-07 14:13:51,5.027s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-07 14:13:51,2024-03-07 14:13:54,3.414s,PASSED
