Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Push_Notification,,,,2024-03-13 10:20:47,2024-03-13 10:25:29,4m - 42.472s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - Push Notification,,,,2024-03-13 10:20:47,2024-03-13 10:25:29,4m - 42.024s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-13 10:20:48,2024-03-13 10:21:06,17.333s,PASSED
a = 8,,,,2024-03-13 10:21:06,2024-03-13 10:21:06,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-13 10:21:06,2024-03-13 10:22:36,1m - 30.161s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-13 10:22:36,2024-03-13 10:22:39,3.246s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-13 10:22:39,2024-03-13 10:22:44,5.084s,PASSED
delay(10),,,,2024-03-13 10:22:44,2024-03-13 10:22:54,10.014s,PASSED
Validation.Terms_Condition(),,,,2024-03-13 10:22:54,2024-03-13 10:23:04,10.192s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-13 10:23:04,2024-03-13 10:23:05,0.322s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-13 10:23:05,2024-03-13 10:23:25,20.112s,PASSED
"digits = ""5000""",,,,2024-03-13 10:23:25,2024-03-13 10:23:25,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-13 10:23:25,2024-03-13 10:23:25,0.011s,PASSED
digit_length = digits.length(),,,,2024-03-13 10:23:25,2024-03-13 10:23:25,0.000s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-13 10:23:25,2024-03-13 10:23:45,20.568s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-13 10:23:45,2024-03-13 10:23:50,5.116s,PASSED
delay(5),,,,2024-03-13 10:23:50,2024-03-13 10:23:55,5.029s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-13 10:23:55,2024-03-13 10:24:09,13.223s,FAILED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-13 10:24:09,2024-03-13 10:24:09,0.750s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:09,2024-03-13 10:24:10,0.203s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.011s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.026s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.161s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.173s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.192s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify the coversion MYR,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.194s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:10,2024-03-13 10:24:10,0.170s,PASSED
"verifyElementExist(findTestObject(""General/android.widget.EditText _AmountReceived"", [""text"":roundedNumber]), 5, CONTINUE_ON_FAILURE)",,TC079 -  Validate the correct currency on amount to receive,,2024-03-13 10:24:10,2024-03-13 10:24:11,0.167s,PASSED
takeScreenshot(),,,,2024-03-13 10:24:11,2024-03-13 10:24:11,0.467s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Next""]), 0, CONTINUE_ON_FAILURE)",,Tap Next,,2024-03-13 10:24:11,2024-03-13 10:24:11,0.232s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 5, CONTINUE_ON_FAILURE)",,Verify Step 2 of 2 page,,2024-03-13 10:24:11,2024-03-13 10:24:12,0.901s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 5, CONTINUE_ON_FAILURE)",,Verify Account Selection Page,,2024-03-13 10:24:12,2024-03-13 10:24:12,0.177s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD/MYR""]), 5, CONTINUE_ON_FAILURE)",,Check the USD/MYR,,2024-03-13 10:24:12,2024-03-13 10:24:13,0.192s,PASSED
"verifyElementExist(findTestObject(""SOW2-Market Order/android.widget.TextView - Im converting""), 5, CONTINUE_ON_FAILURE)",,Verify Im coverting label,,2024-03-13 10:24:13,2024-03-13 10:24:13,0.244s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify MYR,,2024-03-13 10:24:13,2024-03-13 10:24:13,0.182s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:13,2024-03-13 10:24:13,0.152s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:13,2024-03-13 10:24:13,0.176s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-13 10:24:13,2024-03-13 10:24:20,6.356s,PASSED
takeScreenshot(),,,,2024-03-13 10:24:20,2024-03-13 10:24:20,0.536s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-13 10:24:20,2024-03-13 10:24:20,0.241s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:20,2024-03-13 10:24:21,0.785s,PASSED
roundedNumber1 = Validation.convertUSDToMYR(currency_TextMsg1),,,,2024-03-13 10:24:21,2024-03-13 10:24:21,0.003s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-13 10:24:21,2024-03-13 10:24:21,0.188s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:21,2024-03-13 10:24:22,0.155s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer from is showing Global Access Account-i,,2024-03-13 10:24:22,2024-03-13 10:24:22,0.178s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:22,2024-03-13 10:24:22,0.177s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer TO is showing Global Access Account-i,,2024-03-13 10:24:22,2024-03-13 10:24:22,0.203s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:22,2024-03-13 10:24:23,0.631s,PASSED
"println(""below is the rounded number"" + roundedNumber1)",,,,2024-03-13 10:24:23,2024-03-13 10:24:23,0.010s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-03-13 10:24:23,2024-03-13 10:24:23,0.229s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:23,2024-03-13 10:24:25,1.650s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 10:24:25,2024-03-13 10:24:25,0.192s,PASSED
