Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:35:55,2024-03-05 15:35:55,0.119s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 15:35:55,2024-03-05 15:36:02,6.648s,PASSED
takeScreenshot(),,,,2024-03-05 15:36:02,2024-03-05 15:36:02,0.472s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-05 15:36:02,2024-03-05 15:36:02,0.155s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:02,2024-03-05 15:36:06,3.452s,PASSED
roundedNumber1 = Validation.convertUSDToMYR(currency_TextMsg1),,,,2024-03-05 15:36:06,2024-03-05 15:36:06,0.001s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-05 15:36:06,2024-03-05 15:36:06,0.101s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:06,2024-03-05 15:36:06,0.182s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer from is showing Global Access Account-i,,2024-03-05 15:36:06,2024-03-05 15:36:06,0.161s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:06,2024-03-05 15:36:07,0.721s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer TO is showing Global Access Account-i,,2024-03-05 15:36:07,2024-03-05 15:36:07,0.167s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:07,2024-03-05 15:36:08,0.801s,PASSED
"println(""below is the rounded number"" + roundedNumber1)",,,,2024-03-05 15:36:08,2024-03-05 15:36:08,0.014s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-03-05 15:36:08,2024-03-05 15:36:08,0.151s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:08,2024-03-05 15:36:08,0.119s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:08,2024-03-05 15:36:09,0.689s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms & Conditions for this transfer.""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:09,2024-03-05 15:36:14,5.145s,FAILED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 15:36:14,2024-03-05 15:36:15,0.415s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-03-05 15:36:15,2024-03-05 15:36:15,0.598s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 15:36:15,2024-03-05 15:36:22,6.654s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:22,2024-03-05 15:36:22,0.297s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:22,2024-03-05 15:36:32,10.316s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:32,2024-03-05 15:36:36,3.524s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Reference ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.112s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Order ID""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.075s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Date & time""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.089s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Converted from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.091s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount received""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.081s,PASSED
CurrentDate = Validation.datetime(),,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.061s,PASSED
"comment(""The Current Date is "" + CurrentDate)",,,,2024-03-05 15:36:36,2024-03-05 15:36:36,0.001s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD "" + roundedNumber1]), 5, CONTINUE_ON_FAILURE)",,Verify the Conversion Amount USD,,2024-03-05 15:36:36,2024-03-05 15:36:37,0.094s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.089s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.088s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Conversion""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.091s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Share Receipt""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.082s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Done""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.084s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 15:36:37,2024-03-05 15:36:37,0.481s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""Share Receipt""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:37,2024-03-05 15:36:38,0.163s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Exchange""]), 5, CONTINUE_ON_FAILURE)",,Wait for Share Receipt to show,,2024-03-05 15:36:38,2024-03-05 15:36:40,2.378s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Completed""]), 5, CONTINUE_ON_FAILURE)",,Receipt show successful,,2024-03-05 15:36:40,2024-03-05 15:36:40,0.143s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Currency Exchange""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:40,2024-03-05 15:36:41,0.993s,PASSED
takeScreenshot(),,,,2024-03-05 15:36:41,2024-03-05 15:36:42,0.451s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""From account""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:42,2024-03-05 15:36:42,0.165s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)

9000 0002 1160""]), 5, CONTINUE_ON_FAILURE)",,Check Global Access Account-i(MYR),,2024-03-05 15:36:42,2024-03-05 15:36:47,5.083s,FAILED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""To account""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:47,2024-03-05 15:36:47,0.093s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)

9000 0002 1160""]), 5, CONTINUE_ON_FAILURE)",,Check Global Access Account-i(USD),,2024-03-05 15:36:47,2024-03-05 15:36:52,5.082s,FAILED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction type""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:36:52,2024-03-05 15:36:52,0.099s,PASSED
