Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Push_Notification,,,,2024-03-13 09:36:25,2024-03-13 09:41:16,4m - 51.013s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - Push Notification,,,,2024-03-13 09:36:25,2024-03-13 09:41:16,4m - 50.563s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-13 09:36:26,2024-03-13 09:36:44,17.231s,PASSED
a = 8,,,,2024-03-13 09:36:44,2024-03-13 09:36:44,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-13 09:36:44,2024-03-13 09:38:14,1m - 30.350s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-13 09:38:14,2024-03-13 09:38:17,3.213s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-13 09:38:17,2024-03-13 09:38:23,5.629s,PASSED
delay(10),,,,2024-03-13 09:38:23,2024-03-13 09:38:33,10.019s,PASSED
Validation.Terms_Condition(),,,,2024-03-13 09:38:33,2024-03-13 09:38:43,10.556s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-13 09:38:43,2024-03-13 09:38:44,0.253s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-13 09:38:44,2024-03-13 09:39:04,20.133s,PASSED
"digits = ""5000""",,,,2024-03-13 09:39:04,2024-03-13 09:39:04,0.002s,PASSED
currency_Numpad(digits),,,,2024-03-13 09:39:04,2024-03-13 09:39:04,0.017s,PASSED
digit_length = digits.length(),,,,2024-03-13 09:39:04,2024-03-13 09:39:04,0.003s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-13 09:39:04,2024-03-13 09:39:25,21.072s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-13 09:39:25,2024-03-13 09:39:30,5.144s,PASSED
delay(5),,,,2024-03-13 09:39:30,2024-03-13 09:39:35,5.033s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-13 09:39:35,2024-03-13 09:39:49,14.022s,FAILED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-13 09:39:49,2024-03-13 09:39:50,0.737s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.189s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.008s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.022s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.178s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.173s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:39:50,2024-03-13 09:39:50,0.179s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify the coversion MYR,,2024-03-13 09:39:50,2024-03-13 09:39:51,0.187s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:39:51,2024-03-13 09:39:51,0.204s,PASSED
"verifyElementExist(findTestObject(""General/android.widget.EditText _AmountReceived"", [""text"":roundedNumber]), 5, CONTINUE_ON_FAILURE)",,TC079 -  Validate the correct currency on amount to receive,,2024-03-13 09:39:51,2024-03-13 09:39:51,0.165s,PASSED
takeScreenshot(),,,,2024-03-13 09:39:51,2024-03-13 09:39:52,0.520s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Next""]), 0, CONTINUE_ON_FAILURE)",,Tap Next,,2024-03-13 09:39:52,2024-03-13 09:39:52,0.232s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 5, CONTINUE_ON_FAILURE)",,Verify Step 2 of 2 page,,2024-03-13 09:39:52,2024-03-13 09:39:53,0.975s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 5, CONTINUE_ON_FAILURE)",,Verify Account Selection Page,,2024-03-13 09:39:53,2024-03-13 09:39:53,0.264s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD/MYR""]), 5, CONTINUE_ON_FAILURE)",,Check the USD/MYR,,2024-03-13 09:39:53,2024-03-13 09:39:53,0.213s,PASSED
"verifyElementExist(findTestObject(""SOW2-Market Order/android.widget.TextView - Im converting""), 5, CONTINUE_ON_FAILURE)",,Verify Im coverting label,,2024-03-13 09:39:53,2024-03-13 09:39:53,0.213s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify MYR,,2024-03-13 09:39:53,2024-03-13 09:39:54,0.171s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:39:54,2024-03-13 09:39:54,0.196s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:39:54,2024-03-13 09:39:54,0.187s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-13 09:39:54,2024-03-13 09:40:00,6.381s,PASSED
takeScreenshot(),,,,2024-03-13 09:40:00,2024-03-13 09:40:01,0.578s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-13 09:40:01,2024-03-13 09:40:02,0.790s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:40:02,2024-03-13 09:40:04,2.604s,PASSED
roundedNumber1 = Validation.convertUSDToMYR(currency_TextMsg1),,,,2024-03-13 09:40:04,2024-03-13 09:40:04,0.001s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-13 09:40:04,2024-03-13 09:40:04,0.153s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:40:04,2024-03-13 09:40:05,0.172s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer from is showing Global Access Account-i,,2024-03-13 09:40:05,2024-03-13 09:40:05,0.158s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-13 09:40:05,2024-03-13 09:40:05,0.185s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer TO is showing Global Access Account-i,,2024-03-13 09:40:05,2024-03-13 09:40:06,0.706s,PASSED
