Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-07 11:48:42,2024-03-07 11:48:49,6.760s,PASSED
takeScreenshot(),,,,2024-03-07 11:48:49,2024-03-07 11:48:49,0.493s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-07 11:48:49,2024-03-07 11:48:49,0.272s,PASSED
"currency_TextMsg1 = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:49,2024-03-07 11:48:51,1.304s,PASSED
roundedNumber1 = Validation.convertUSDToMYR(currency_TextMsg1),,,,2024-03-07 11:48:51,2024-03-07 11:48:51,0.002s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 5, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-07 11:48:51,2024-03-07 11:48:51,0.107s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer from""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:51,2024-03-07 11:48:51,0.162s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (MYR)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer from is showing Global Access Account-i,,2024-03-07 11:48:51,2024-03-07 11:48:51,0.124s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transfer to""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:51,2024-03-07 11:48:52,0.687s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Global Access Account-i (USD)""]), 5, CONTINUE_ON_FAILURE)",,Verify Transfer TO is showing Global Access Account-i,,2024-03-07 11:48:52,2024-03-07 11:48:52,0.099s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:52,2024-03-07 11:48:52,0.093s,PASSED
"println(""below is the rounded number"" + roundedNumber1)",,,,2024-03-07 11:48:52,2024-03-07 11:48:52,0.008s,PASSED
