Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Push_Notification,,,,2024-03-07 14:30:48,2024-03-07 14:35:24,4m - 35.577s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/Push Notification,,,,2024-03-07 14:30:49,2024-03-07 14:35:24,4m - 35.215s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-07 14:30:50,2024-03-07 14:31:07,17.221s,PASSED
a = 8,,,,2024-03-07 14:31:07,2024-03-07 14:31:07,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-07 14:31:07,2024-03-07 14:32:36,1m - 28.985s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-07 14:32:36,2024-03-07 14:32:40,3.629s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-07 14:32:40,2024-03-07 14:32:44,4.797s,PASSED
delay(10),,,,2024-03-07 14:32:44,2024-03-07 14:32:54,10.014s,PASSED
Validation.Terms_Condition(),,,,2024-03-07 14:32:54,2024-03-07 14:33:05,10.139s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-07 14:33:05,2024-03-07 14:33:05,0.284s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-07 14:33:05,2024-03-07 14:33:25,20.173s,PASSED
"digits = ""5000""",,,,2024-03-07 14:33:25,2024-03-07 14:33:25,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-07 14:33:25,2024-03-07 14:33:25,0.016s,PASSED
digit_length = digits.length(),,,,2024-03-07 14:33:25,2024-03-07 14:33:25,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-07 14:33:25,2024-03-07 14:33:46,20.654s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-07 14:33:46,2024-03-07 14:33:51,5.144s,PASSED
delay(5),,,,2024-03-07 14:33:51,2024-03-07 14:33:56,5.016s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-07 14:33:56,2024-03-07 14:34:00,3.965s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-07 14:34:00,2024-03-07 14:34:00,0.267s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-07 14:34:00,2024-03-07 14:34:00,0.239s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-03-07 14:34:00,2024-03-07 14:34:00,0.015s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-03-07 14:34:00,2024-03-07 14:34:00,0.047s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-03-07 14:34:00,2024-03-07 14:34:01,0.254s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-03-07 14:34:01,2024-03-07 14:34:01,0.254s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Total to pay""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-07 14:34:01,2024-03-07 14:34:01,0.181s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR 50.00""]), 5, CONTINUE_ON_FAILURE)",,Verify the coversion MYR,,2024-03-07 14:34:01,2024-03-07 14:34:01,0.206s,PASSED
